id,X,Y
,358626.952,4682663.546
,358641.844,4682679.471
,358684.533,4682685.443
,358718.779,4682669.382
,358741.300,4682666.936
,358748.149,4682680.746
,358696.346,4682718.793
,358655.994,4682715.336
,358667.214,4682761.792
,358686.376,4682762.829
,358693.586,4682794.564
,358667.079,4682797.660
,358670.867,4682815.516
,358642.177,4682795.315
,358627.151,4682815.258
,358606.898,4682816.804
,358553.954,4682840.643
,358551.158,4682801.133
,358521.750,4682816.243
,358508.133,4682806.840
,358517.207,4682789.293
,358584.471,4682767.159
,358565.380,4682741.356
,358527.855,4682736.419
,358509.605,4682723.978
,358500.249,4682713.350
