FID,ZONE,ROW_,WEST_VALUE,CM_VALUE,EAST_VALUE
1,0,Y,NoZN,NoZN,NoZN
2,22,P, 54W, 51W, 48W
3,0,Z,NoZN,NoZN,NoZN
4,1,X,180W,177W,174W
5,2,X,174W,171W,168W
6,23,P, 48W, 45W, 42W
7,3,X,168W,165W,162W
8,24,P, 42W, 39W, 36W
9,4,X,162W,159W,156W
10,25,P, 36W, 33W, 30W
11,5,X,156W,153W,150W
12,26,P, 30W, 27W, 24W
13,6,X,150W,147W,144W
14,27,P, 24W, 21W, 18W
15,7,X,144W,141W,138W
16,28,P, 18W, 15W, 12W
17,8,X,138W,135W,132W
18,9,X,132W,129W,126W
19,29,P, 12W,  9W,  6W
20,10,X,126W,123W,120W
21,30,P,  6W,  3W,0E/W
22,11,X,120W,117W,114W
23,12,X,114W,111W,108W
24,31,P,0E/W,  3E,  6E
25,13,X,108W,105W,102W
26,32,P,  6E,  9E, 12E
27,14,X,102W, 99W, 96W
28,33,P, 12E, 15E, 18E
29,15,X, 96W, 93W, 90W
30,34,P, 18E, 21E, 24E
31,16,X, 90W, 87W, 84W
32,35,P, 24E, 27E, 30E
33,17,X, 84W, 81W, 78W
34,36,P, 30E, 33E, 36E
35,37,P, 36E, 39E, 42E
36,18,X, 78W, 75W, 72W
37,38,P, 42E, 45E, 48E
38,19,X, 72W, 69W, 66W
39,39,P, 48E, 51E, 54E
40,20,X, 66W, 63W, 60W
41,21,X, 60W, 57W, 54W
42,40,P, 54E, 57E, 60E
43,22,X, 54W, 51W, 48W
44,41,P, 60E, 63E, 66E
45,23,X, 48W, 45W, 42W
46,42,P, 66E, 69E, 72E
47,43,P, 72E, 75E, 78E
48,24,X, 42W, 39W, 36W
49,42,W, 66E, 69E, 72E
50,25,X, 36W, 33W, 30W
51,44,P, 78E, 81E, 84E
52,43,W, 72E, 75E, 78E
53,26,X, 30W, 27W, 24W
54,45,P, 84E, 87E, 90E
55,27,X, 24W, 21W, 18W
56,46,P, 90E, 93E, 96E
57,44,W, 78E, 81E, 84E
58,28,X, 18W, 15W, 12W
59,47,P, 96E, 99E,102E
60,45,W, 84E, 87E, 90E
61,29,X, 12W,  9W,  6W
62,48,P,102E,105E,108E
63,46,W, 90E, 93E, 96E
64,30,X,  6W,  3W,0E/W
65,47,W, 96E, 99E,102E
66,49,P,108E,111E,114E
67,48,W,102E,105E,108E
68,50,P,114E,117E,120E
69,31,X,0E/W,4.5E,9E
70,49,W,108E,111E,114E
71,51,P,120E,123E,126E
72,50,W,114E,117E,120E
73,33,X,9E, 15E,21E
74,52,P,126E,129E,132E
75,51,W,120E,123E,126E
76,53,P,132E,135E,138E
77,52,W,126E,129E,132E
78,35,X,21E, 27E,33E
79,54,P,138E,141E,144E
80,53,W,132E,135E,138E
81,37,X,33E,37.5E, 42E
82,38,X, 42E, 45E, 48E
83,55,P,144E,147E,150E
84,54,W,138E,141E,144E
85,39,X, 48E, 51E, 54E
86,40,X, 54E, 57E, 60E
87,55,W,144E,147E,150E
88,56,P,150E,153E,156E
89,41,X, 60E, 63E, 66E
90,57,P,156E,159E,162E
91,42,X, 66E, 69E, 72E
92,58,P,162E,165E,168E
93,56,W,150E,153E,156E
94,43,X, 72E, 75E, 78E
95,59,P,168E,171E,174E
96,57,W,156E,159E,162E
97,58,W,162E,165E,168E
98,60,P,174E,177E,180E
99,44,X, 78E, 81E, 84E
100,45,X, 84E, 87E, 90E
101,59,W,168E,171E,174E
102,1,N,180W,177W,174W
103,46,X, 90E, 93E, 96E
104,2,N,174W,171W,168W
105,60,W,174E,177E,180E
106,47,X, 96E, 99E,102E
107,3,N,168W,165W,162W
108,48,X,102E,105E,108E
109,4,N,162W,159W,156W
110,1,V,180W,177W,174W
111,49,X,108E,111E,114E
112,5,N,156W,153W,150W
113,50,X,114E,117E,120E
114,6,N,150W,147W,144W
115,2,V,174W,171W,168W
116,51,X,120E,123E,126E
117,7,N,144W,141W,138W
118,3,V,168W,165W,162W
119,52,X,126E,129E,132E
120,4,V,162W,159W,156W
121,53,X,132E,135E,138E
122,8,N,138W,135W,132W
123,9,N,132W,129W,126W
124,5,V,156W,153W,150W
125,54,X,138E,141E,144E
126,10,N,126W,123W,120W
127,6,V,150W,147W,144W
128,55,X,144E,147E,150E
129,11,N,120W,117W,114W
130,7,V,144W,141W,138W
131,56,X,150E,153E,156E
132,8,V,138W,135W,132W
133,12,N,114W,111W,108W
134,57,X,156E,159E,162E
135,13,N,108W,105W,102W
136,58,X,162E,165E,168E
137,14,N,102W, 99W, 96W
138,59,X,168E,171E,174E
139,15,N, 96W, 93W, 90W
140,60,X,174E,177E,180E
141,16,N, 90W, 87W, 84W
142,9,V,132W,129W,126W
143,1,W,180W,177W,174W
144,17,N, 84W, 81W, 78W
145,10,V,126W,123W,120W
146,2,W,174W,171W,168W
147,18,N, 78W, 75W, 72W
148,11,V,120W,117W,114W
149,3,W,168W,165W,162W
150,19,N, 72W, 69W, 66W
151,4,W,162W,159W,156W
152,12,V,114W,111W,108W
153,20,N, 66W, 63W, 60W
154,5,W,156W,153W,150W
155,13,V,108W,105W,102W
156,21,N, 60W, 57W, 54W
157,14,V,102W, 99W, 96W
158,6,W,150W,147W,144W
159,22,N, 54W, 51W, 48W
160,15,V, 96W, 93W, 90W
161,7,W,144W,141W,138W
162,23,N, 48W, 45W, 42W
163,8,W,138W,135W,132W
164,24,N, 42W, 39W, 36W
165,9,W,132W,129W,126W
166,25,N, 36W, 33W, 30W
167,16,V, 90W, 87W, 84W
168,10,W,126W,123W,120W
169,26,N, 30W, 27W, 24W
170,17,V, 84W, 81W, 78W
171,11,W,120W,117W,114W
172,27,N, 24W, 21W, 18W
173,12,W,114W,111W,108W
174,18,V, 78W, 75W, 72W
175,28,N, 18W, 15W, 12W
176,13,W,108W,105W,102W
177,19,V, 72W, 69W, 66W
178,29,N, 12W,  9W,  6W
179,14,W,102W, 99W, 96W
180,20,V, 66W, 63W, 60W
181,30,N,  6W,  3W,0E/W
182,15,W, 96W, 93W, 90W
183,21,V, 60W, 57W, 54W
184,31,N,0E/W,  3E,  6E
